,Virus,Country,Latitude,Longitude,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 32,Day 33,Day 34,Day 35,Day 36,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 44,Day 45,Day 46,Day 47,Day 48,Day 49,Day 50,Day 51,Day 52,Day 53,Day 54,Day 55,Day 56,Day 57,Day 58,Day 59,Day 60,Day 61,Day 62,Day 63,Day 64,Day 65,Day 66,Day 67,Day 68,Day 69,Day 70,Day 71,Day 72,Day 73,Day 74,Day 75,Day 76,Day 77,Day 78,Day 79,Day 80,Day 81,Day 82,Day 83,Day 84,Day 85,Day 86,Day 87,Day 88,Day 89,Day 90,Day 91,Day 92,Day 93,Day 94,Day 95,Day 96,Day 97,Day 98,Day 99,Day 100,Day 101,Day 102,Day 103,Day 104,Day 105,Day 106,Day 107,Day 108,Day 109,Day 110,Day 111,Day 112,Day 113,Day 114,Day 115,Day 116
0,SARS,Germany,51.165690999999995,10.451526,1,2,1,1,1,2,2,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1,SARS,Canada,56.130366,-106.34677099999999,8,8,8,9,9,9,9,11,11,19,28,29,37,37,44,53,58,62,69,74,74,90,91,94,97,98,101,101,100,100,103,126,132,132,132,132,139,140,140,140,142,142,142,146,148,147,149,149,149,148,148,146,146,145,145,145,143,143,143,142,140,140,140,140,140,140,140,140,140,140,148,148,149,151,159,188,188,198,213,216,218,219,219,219,229,229,230,238,242,242,242,243,247,246,245,245,245,245,246,249,250,251,251,251,251,252,252,252,251,251,251,251,251,250,249,250,250
2,SARS,Singapore,1.352083,103.819836,20,23,31,34,39,44,44,65,69,74,78,86,89,89,91,92,95,98,100,101,101,106,113,118,126,133,147,147,158,162,162,167,177,177,177,178,186,189,192,195,198,198,199,201,201,201,203,203,203,204,204,204,204,204,205,205,205,205,205,205,205,205,205,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
3,SARS,Hong Kong,22.396428,114.10949699999999,95,123,150,173,203,222,222,260,286,316,367,425,470,470,530,685,708,734,761,800,800,883,928,970,998,1059,1108,1108,1190,1232,1268,1297,1358,1358,1358,1402,1434,1458,1488,1510,1527,1527,1557,1572,1589,1600,1611,1621,1621,1637,1646,1654,1661,1667,1674,1674,1683,1689,1698,1703,1706,1710,1710,1714,1718,1719,1722,1724,1724,1724,1726,1728,1730,1732,1736,1739,1739,1746,1747,1748,1748,1750,1750,1750,1753,1754,1754,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755
4,SARS,Switzerland,46.818188,8.227511999999999,2,0,0,7,7,7,7,2,2,2,2,2,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,SARS,Thailand,15.870032,100.992541,1,1,1,1,4,4,4,5,5,3,3,3,3,3,5,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,7,7,7,7,7,7,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
6,SARS,Vietnam,14.058323999999999,108.277199,40,57,56,62,62,63,63,58,58,58,58,58,58,58,58,58,58,59,59,59,59,62,62,62,62,62,62,62,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
7,SARS,Taiwan,23.69781,120.96051499999999,0,3,3,4,6,6,6,6,6,6,6,10,10,10,10,13,13,14,15,17,17,21,19,19,19,21,23,23,23,23,27,27,29,29,29,29,29,37,37,41,49,49,66,66,78,89,100,100,100,116,116,125,131,149,172,172,184,207,238,264,274,274,274,344,383,418,483,538,538,538,585,596,610,660,667,676,676,684,679,678,677,676,676,676,680,686,687,688,693,693,693,698,697,697,695,695,695,695,692,687,686,682,681,681,681,678,678,676,674,674,674,674,674,671,671,671,671
9,SARS,United Kingdom,55.378051,-3.435973,0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10,SARS,Spain,40.463667,-3.7492199999999998,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
